date_updated,state,start_date,end_date,tot_cases,new_cases,tot_deaths,new_deaths,new_historic_cases,new_historic_deaths
05/11/2023,AK,05/04/2023,05/10/2023,297588,199,1468,0,0,0
05/11/2023,AL,05/04/2023,05/10/2023,1659936,1297,21138,1,0,0
05/11/2023,AR,05/04/2023,05/10/2023,995043,657,13115,0,0,0
05/11/2023,AS,05/04/2023,05/10/2023,8331,2,34,0,0,0
05/11/2023,AZ,05/04/2023,05/10/2023,2474154,2608,33451,34,0,0
05/11/2023,CA,05/04/2023,05/10/2023,12251820,9186,101886,109,0,0
05/11/2023,CO,05/04/2023,05/10/2023,1783663,1199,14385,14,0,0
05/11/2023,CT,05/04/2023,05/10/2023,982335,388,12337,3,0,0
05/11/2023,DC,05/04/2023,05/10/2023,178904,75,1435,1,0,0
05/11/2023,DE,05/04/2023,05/10/2023,333772,111,3394,0,0,0
05/11/2023,FL,05/04/2023,05/10/2023,7572282,6937,88248,0,0,1109
05/11/2023,FSM,05/04/2023,05/10/2023,26453,373,64,0,0,0
05/11/2023,GA,05/04/2023,05/10/2023,3087729,1618,42782,16,0,0
05/11/2023,GU,05/04/2023,05/10/2023,61642,163,415,0,0,0
05/11/2023,HI,05/04/2023,05/10/2023,374264,654,1856,4,0,0
05/11/2023,IA,05/04/2023,05/10/2023,908936,0,10797,0,0,0
05/11/2023,ID,05/04/2023,05/10/2023,526118,293,5479,1,0,0
05/11/2023,IL,05/04/2023,05/10/2023,4136659,851,42005,0,0,0
05/11/2023,IN,05/04/2023,05/10/2023,2076326,1696,26446,25,0,0
05/11/2023,KS,05/04/2023,05/10/2023,945923,486,10214,18,0,0
05/11/2023,KY,05/04/2023,05/10/2023,1743117,1052,18623,56,0,0
05/11/2023,LA,05/04/2023,05/10/2023,1600610,1420,18971,15,0,0
05/11/2023,MA,05/04/2023,05/10/2023,2242176,1221,24644,15,0,0
05/11/2023,MD,05/04/2023,05/10/2023,1379385,1159,16740,14,0,0
05/11/2023,ME,05/04/2023,05/10/2023,322982,262,3038,10,0,0
05/11/2023,MI,05/04/2023,05/10/2023,3106362,2718,42873,62,0,0
05/11/2023,MN,05/04/2023,05/10/2023,1795771,1202,14770,23,0,0
05/11/2023,MO,05/04/2023,05/10/2023,1790763,1568,22931,26,0,0
05/11/2023,MP,05/04/2023,05/10/2023,13886,19,44,1,0,0
05/11/2023,MS,05/04/2023,05/10/2023,1000415,800,13474,4,0,0
05/11/2023,MT,05/04/2023,05/10/2023,333959,202,3715,3,0,0
05/11/2023,NC,05/04/2023,05/10/2023,3501404,2257,29059,73,0,0
05/11/2023,ND,05/04/2023,05/10/2023,291093,406,2513,2,0,0
05/11/2023,NE,05/04/2023,05/10/2023,575134,373,5089,24,0,0
05/11/2023,NH,05/04/2023,05/10/2023,382013,281,3052,6,0,0
05/11/2023,NJ,05/04/2023,05/10/2023,3075271,1643,36118,1,0,0
05/11/2023,NM,05/04/2023,05/10/2023,681242,804,9236,0,0,0
05/11/2023,NV,05/04/2023,05/10/2023,898511,640,12008,10,0,0
05/11/2023,NY,05/04/2023,05/10/2023,3572043,1823,32341,32,0,0
05/11/2023,NYC,05/04/2023,05/10/2023,3266726,1909,45181,12,0,0
05/11/2023,OH,05/04/2023,05/10/2023,3441458,2978,42207,40,0,0
05/11/2023,OK,05/04/2023,05/10/2023,1306350,956,16157,38,0,0
05/11/2023,OR,05/04/2023,05/10/2023,975856,932,9550,6,0,0
05/11/2023,PA,05/04/2023,05/10/2023,3559331,1977,51047,5,0,0
05/11/2023,PR,05/04/2023,05/10/2023,1122076,3476,5908,11,0,0
05/11/2023,PW,05/04/2023,05/10/2023,6000,1,9,0,0,0
05/11/2023,RI,05/04/2023,05/10/2023,441466,185,3915,0,0,0
05/11/2023,RMI,05/04/2023,05/10/2023,16081,0,17,0,0,0
05/11/2023,SC,05/04/2023,05/10/2023,1852019,1357,19923,22,0,0
05/11/2023,SD,05/04/2023,05/10/2023,282895,217,3231,2,0,0
05/11/2023,TN,05/04/2023,05/10/2023,2542163,1919,29549,17,0,0
05/11/2023,TX,05/04/2023,05/10/2023,8508204,5620,93780,42,0,0
05/11/2023,UT,05/04/2023,05/10/2023,1097475,514,5362,10,0,0
05/11/2023,VA,05/04/2023,05/10/2023,2310846,1745,23743,7,0,0
05/11/2023,VI,05/04/2023,05/10/2023,24994,58,131,0,0,0
05/11/2023,VT,05/04/2023,05/10/2023,154243,93,967,4,0,0
05/11/2023,WA,05/04/2023,05/10/2023,1957759,1569,16186,35,0,0
05/11/2023,WI,05/04/2023,05/10/2023,2030717,1524,16600,10,0,0
05/11/2023,WV,05/04/2023,05/10/2023,650556,194,8125,8,0,0
05/11/2023,WY,05/04/2023,05/10/2023,187034,366,2031,0,0,0
05/04/2023,AK,04/27/2023,05/03/2023,297389,188,1468,0,0,0
05/04/2023,AL,04/27/2023,05/03/2023,1658639,1464,21137,4,0,0
05/04/2023,AR,04/27/2023,05/03/2023,994386,898,13115,0,0,0
05/04/2023,AS,04/27/2023,05/03/2023,8329,0,34,0,0,0
05/04/2023,AZ,04/27/2023,05/03/2023,2471546,3206,33417,22,0,0
05/04/2023,CA,04/27/2023,05/03/2023,12242634,12010,101777,114,0,0
05/04/2023,CO,04/27/2023,05/03/2023,1782464,1090,14371,22,0,0
05/04/2023,CT,04/27/2023,05/03/2023,981947,446,12334,30,0,0
05/04/2023,DC,04/27/2023,05/03/2023,178829,82,1434,0,0,0
05/04/2023,DE,04/27/2023,05/03/2023,333661,103,3394,0,0,0
05/04/2023,FL,04/27/2023,05/03/2023,7565345,7021,87139,0,0,0
05/04/2023,FSM,04/27/2023,05/03/2023,26080,31,64,0,0,0
05/04/2023,GA,04/27/2023,05/03/2023,3086111,1855,42766,23,0,0
05/04/2023,GU,04/27/2023,05/03/2023,61479,97,415,0,0,0
05/04/2023,HI,04/27/2023,05/03/2023,373610,748,1852,5,0,0
05/04/2023,IA,04/27/2023,05/03/2023,908936,0,10797,0,0,0
05/04/2023,ID,04/27/2023,05/03/2023,525825,355,5478,6,0,0
05/04/2023,IL,04/27/2023,05/03/2023,4135808,3992,42005,35,0,0
05/04/2023,IN,04/27/2023,05/03/2023,2074630,2200,26421,29,0,0
05/04/2023,KS,04/27/2023,05/03/2023,945437,485,10196,13,0,0
05/04/2023,KY,04/27/2023,05/03/2023,1742065,1304,18567,55,0,0
05/04/2023,LA,04/27/2023,05/03/2023,1599190,2120,18956,19,0,0
05/04/2023,MA,04/27/2023,05/03/2023,2240955,1205,24629,17,0,0
05/04/2023,MD,04/27/2023,05/03/2023,1378226,1074,16726,16,0,0
05/04/2023,ME,04/27/2023,05/03/2023,322720,272,3028,2,0,0
05/04/2023,MI,04/27/2023,05/03/2023,3103644,2630,42811,63,0,0
05/04/2023,MN,04/27/2023,05/03/2023,1794569,1237,14747,27,0,0
05/04/2023,MO,04/27/2023,05/03/2023,1789195,1934,22905,39,0,0
05/04/2023,MP,04/27/2023,05/03/2023,13867,16,43,0,0,0
05/04/2023,MS,04/27/2023,05/03/2023,999615,988,13470,23,0,0
05/04/2023,MT,04/27/2023,05/03/2023,333757,249,3712,3,0,0
05/04/2023,NC,04/27/2023,05/03/2023,3499147,2317,28986,13,0,0
05/04/2023,ND,04/27/2023,05/03/2023,290687,198,2511,3,0,0
05/04/2023,NE,04/27/2023,05/03/2023,574761,382,5065,2,0,0
05/04/2023,NH,04/27/2023,05/03/2023,381732,291,3046,8,0,0
05/04/2023,NJ,04/27/2023,05/03/2023,3073628,1619,36117,2,0,0
05/04/2023,NM,04/27/2023,05/03/2023,680438,955,9236,44,0,0
05/04/2023,NV,04/27/2023,05/03/2023,897871,606,11998,14,0,0
05/04/2023,NY,04/27/2023,05/03/2023,3570220,1863,32309,23,0,0
05/04/2023,NYC,04/27/2023,05/03/2023,3264817,2271,45169,9,0,0
05/04/2023,OH,04/27/2023,05/03/2023,3438480,3121,42167,45,0,0
05/04/2023,OK,04/27/2023,05/03/2023,1305394,1240,16119,36,0,0
05/04/2023,OR,04/27/2023,05/03/2023,974924,1057,9544,6,0,0
05/04/2023,PA,04/27/2023,05/03/2023,3557354,1326,51042,43,0,0
05/04/2023,PR,04/27/2023,05/03/2023,1118600,2876,5897,10,0,0
05/04/2023,PW,04/27/2023,05/03/2023,5999,0,9,0,0,0
05/04/2023,RI,04/27/2023,05/03/2023,441281,177,3915,3,0,0
05/04/2023,RMI,04/27/2023,05/03/2023,16081,0,17,0,0,0
05/04/2023,SC,04/27/2023,05/03/2023,1850662,1272,19901,50,0,0
05/04/2023,SD,04/27/2023,05/03/2023,282678,277,3229,6,0,0
05/04/2023,TN,04/27/2023,05/03/2023,2540244,1892,29532,10,0,0
05/04/2023,TX,04/27/2023,05/03/2023,8502584,6584,93738,58,0,0
05/04/2023,UT,04/27/2023,05/03/2023,1096961,543,5352,9,0,0
05/04/2023,VA,04/27/2023,05/03/2023,2309101,1657,23736,6,0,0
05/04/2023,VI,04/27/2023,05/03/2023,24936,17,131,1,0,0
05/04/2023,VT,04/27/2023,05/03/2023,154150,111,963,1,0,0
05/04/2023,WA,04/27/2023,05/03/2023,1956190,1809,16151,81,0,0
05/04/2023,WI,04/27/2023,05/03/2023,2029193,1546,16590,33,0,0
05/04/2023,WV,04/27/2023,05/03/2023,650362,263,8117,8,0,0
05/04/2023,WY,04/27/2023,05/03/2023,186668,129,2031,1,0,0
04/27/2023,AK,04/20/2023,04/26/2023,297201,280,1468,0,0,0
04/27/2023,AL,04/20/2023,04/26/2023,1657175,1514,21133,0,0,0
04/27/2023,AR,04/20/2023,04/26/2023,993488,713,13115,39,0,0
04/27/2023,AS,04/20/2023,04/26/2023,8329,0,34,0,0,0
04/27/2023,AZ,04/20/2023,04/26/2023,2468340,4006,33395,23,0,0
04/27/2023,CA,04/20/2023,04/26/2023,12230624,12533,101663,114,0,0
04/27/2023,CO,04/20/2023,04/26/2023,1781374,1240,14349,30,0,0
04/27/2023,CT,04/20/2023,04/26/2023,981501,432,12304,2,0,0
04/27/2023,DC,04/20/2023,04/26/2023,178747,80,1434,0,0,0
04/27/2023,DE,04/20/2023,04/26/2023,333558,115,3394,1,0,0
04/27/2023,FL,04/20/2023,04/26/2023,7558324,7364,87139,0,0,0
04/27/2023,FSM,04/20/2023,04/26/2023,26049,120,64,0,0,0
04/27/2023,GA,04/20/2023,04/26/2023,3084256,1938,42743,28,0,0
04/27/2023,GU,04/20/2023,04/26/2023,61382,92,415,0,0,0
04/27/2023,HI,04/20/2023,04/26/2023,372862,833,1847,5,0,0
04/27/2023,IA,04/20/2023,04/26/2023,908936,0,10797,0,0,0
04/27/2023,ID,04/20/2023,04/26/2023,525470,431,5472,7,0,0
04/27/2023,IL,04/20/2023,04/26/2023,4131816,4192,41970,60,0,44
04/27/2023,IN,04/20/2023,04/26/2023,2072430,4177,26392,36,0,0
04/27/2023,KS,04/20/2023,04/26/2023,944952,572,10183,11,0,0
04/27/2023,KY,04/20/2023,04/26/2023,1740761,1423,18512,57,0,0
04/27/2023,LA,04/20/2023,04/26/2023,1597070,1884,18937,25,949,0
04/27/2023,MA,04/20/2023,04/26/2023,2239750,1414,24612,12,0,0
04/27/2023,MD,04/20/2023,04/26/2023,1377152,1341,16710,12,0,0
04/27/2023,ME,04/20/2023,04/26/2023,322448,405,3026,28,0,0
04/27/2023,MI,04/20/2023,04/26/2023,3101014,3124,42748,82,0,0
04/27/2023,MN,04/20/2023,04/26/2023,1793332,1265,14720,24,0,0
04/27/2023,MO,04/20/2023,04/26/2023,1787261,1892,22866,16,0,0
04/27/2023,MP,04/20/2023,04/26/2023,13851,18,43,0,0,0
04/27/2023,MS,04/20/2023,04/26/2023,998627,944,13447,4,0,0
04/27/2023,MT,04/20/2023,04/26/2023,333508,279,3709,1,0,0
04/27/2023,NC,04/20/2023,04/26/2023,3496830,2590,28973,14,0,0
04/27/2023,ND,04/20/2023,04/26/2023,290489,243,2508,4,0,0
04/27/2023,NE,04/20/2023,04/26/2023,574379,414,5063,12,0,0
04/27/2023,NH,04/20/2023,04/26/2023,381441,371,3038,3,0,0
04/27/2023,NJ,04/20/2023,04/26/2023,3072009,2091,36115,11,0,0
04/27/2023,NM,04/20/2023,04/26/2023,679483,1070,9192,17,0,0
04/27/2023,NV,04/20/2023,04/26/2023,897265,738,11984,3,0,0
04/27/2023,NY,04/20/2023,04/26/2023,3568357,2137,32286,42,0,0
04/27/2023,NYC,04/20/2023,04/26/2023,3262546,2014,45160,2,0,0
04/27/2023,OH,04/20/2023,04/26/2023,3435359,3372,42122,56,0,0
04/27/2023,OK,04/20/2023,04/26/2023,1304154,2246,16083,50,0,0
04/27/2023,OR,04/20/2023,04/26/2023,973867,1207,9538,9,0,0
04/27/2023,PA,04/20/2023,04/26/2023,3556028,1900,50999,53,0,0
04/27/2023,PR,04/20/2023,04/26/2023,1115724,2561,5887,6,0,0
04/27/2023,PW,04/20/2023,04/26/2023,5999,0,9,0,0,0
04/27/2023,RI,04/20/2023,04/26/2023,441104,184,3912,4,0,0
04/27/2023,RMI,04/20/2023,04/26/2023,16081,0,17,0,0,0
04/27/2023,SC,04/20/2023,04/26/2023,1849390,1370,19851,15,0,0
04/27/2023,SD,04/20/2023,04/26/2023,282401,265,3223,2,0,0
04/27/2023,TN,04/20/2023,04/26/2023,2538352,1916,29522,48,0,0
04/27/2023,TX,04/20/2023,04/26/2023,8496000,8346,93680,70,0,0
04/27/2023,UT,04/20/2023,04/26/2023,1096418,576,5343,2,0,0
04/27/2023,VA,04/20/2023,04/26/2023,2307444,1581,23730,10,0,0
04/27/2023,VI,04/20/2023,04/26/2023,24919,12,130,0,0,0
04/27/2023,VT,04/20/2023,04/26/2023,154039,137,962,3,0,0
04/27/2023,WA,04/20/2023,04/26/2023,1954381,2265,16070,0,0,0
04/27/2023,WI,04/20/2023,04/26/2023,2027647,1532,16557,16,0,0
04/27/2023,WV,04/20/2023,04/26/2023,650099,571,8109,15,0,0
04/27/2023,WY,04/20/2023,04/26/2023,186539,140,2030,3,0,0
04/20/2023,AK,04/13/2023,04/19/2023,296921,361,1468,0,0,0
04/20/2023,AL,04/13/2023,04/19/2023,1655661,1560,21133,0,0,0
04/20/2023,AR,04/13/2023,04/19/2023,992775,1051,13076,2,0,0
04/20/2023,AS,04/13/2023,04/19/2023,8329,3,34,0,0,0
04/20/2023,AZ,04/13/2023,04/19/2023,2464334,3408,33372,79,0,0
04/20/2023,CA,04/13/2023,04/19/2023,12218091,12518,101549,115,0,0
04/20/2023,CO,04/13/2023,04/19/2023,1780134,2377,14319,14,0,0
04/20/2023,CT,04/13/2023,04/19/2023,981069,506,12302,1,0,0
04/20/2023,DC,04/13/2023,04/19/2023,178667,71,1434,0,0,0
04/20/2023,DE,04/13/2023,04/19/2023,333443,190,3393,2,0,0
04/20/2023,FL,04/13/2023,04/19/2023,7550960,7495,87139,0,0,0
04/20/2023,FSM,04/13/2023,04/19/2023,25929,0,64,0,0,0
04/20/2023,GA,04/13/2023,04/19/2023,3082318,2001,42715,33,0,0
04/20/2023,GU,04/13/2023,04/19/2023,61290,53,415,0,0,0
04/20/2023,HI,04/13/2023,04/19/2023,372029,909,1842,9,0,0
04/20/2023,IA,04/13/2023,04/19/2023,908936,0,10797,0,0,0
04/20/2023,ID,04/13/2023,04/19/2023,525039,396,5465,6,0,0
04/20/2023,IL,04/13/2023,04/19/2023,4127624,5578,41866,61,0,0
04/20/2023,IN,04/13/2023,04/19/2023,2068253,2373,26356,28,0,0
04/20/2023,KS,04/13/2023,04/19/2023,944380,728,10172,5,0,0
04/20/2023,KY,04/13/2023,04/19/2023,1739338,1718,18455,51,0,0
04/20/2023,LA,04/13/2023,04/19/2023,1594237,1814,18912,18,0,0
04/20/2023,MA,04/13/2023,04/19/2023,2238336,1533,24600,27,0,0
04/20/2023,MD,04/13/2023,04/19/2023,1375811,1357,16698,21,0,0
04/20/2023,ME,04/13/2023,04/19/2023,322043,313,2998,9,0,0
04/20/2023,MI,04/13/2023,04/19/2023,3097890,3867,42666,55,0,0
04/20/2023,MN,04/13/2023,04/19/2023,1792067,1622,14696,37,0,0
04/20/2023,MO,04/13/2023,04/19/2023,1785369,2122,22850,58,0,0
04/20/2023,MP,04/13/2023,04/19/2023,13833,22,43,0,0,0
04/20/2023,MS,04/13/2023,04/19/2023,997683,1076,13443,14,0,0
04/20/2023,MT,04/13/2023,04/19/2023,333229,339,3708,3,0,0
04/20/2023,NC,04/13/2023,04/19/2023,3494240,2307,28959,22,0,0
04/20/2023,ND,04/13/2023,04/19/2023,290246,365,2504,3,0,0
04/20/2023,NE,04/13/2023,04/19/2023,573965,624,5051,17,0,0
04/20/2023,NH,04/13/2023,04/19/2023,381070,357,3035,6,0,0
