Substance,Author,Year,OutputID,Genotoxicity
((E)-2-(2-hydroxymethylphenyl)-2-methoxyimino-N-methyl-acetamide),EFSA,2005,1060,Negative
(+)-13alpha-Tigloyloxylupanine,EFSA CONTAM,2019,3321,Negative
(+)-13alpha-hydroxy-lupanine,EFSA CONTAM,2019,3321,Negative
(+)-Alpha-cedrene,EFSA AFC,2008,2299,Not determined
(+)-Alpha-cedrene,EFSA CEF,2010,2039,Not determined
(+)-Alpha-cedrene,EFSA CEF,2011,2102,Not determined
(+)-Lupanine,EFSA CONTAM,2019,3321,Negative
(-)-17-Oxosparteine,EFSA CONTAM,2019,3321,Negative
"(-)-3,7-Dimethyl-6-octen-1-ol",EFSA CEF,2013,2180,Negative
"(-)-3,7-Dimethyl-6-octen-1-ol",EFSA FEEDAP,2016,2864,Not determined
(-)-Alpha-cedrene,EFSA AFC,2008,2299,Not determined
(-)-Alpha-cedrene,EFSA CEF,2010,2039,Not determined
(-)-Alpha-cedrene,EFSA CEF,2011,2102,Not determined
(-)-Alpha-elemol,EFSA AFC,2006,2232,Negative
(-)-Alpha-elemol,EFSA AFC,2009,2314,Negative
(-)-Alpha-elemol,EFSA CEF,2011,2071,Negative
(-)-Alpha-elemol,EFSA CEF,2015,2656,Negative
(-)-Anagyrine,EFSA CONTAM,2019,3321,Negative
(-)-Angustifoline,EFSA CONTAM,2019,3321,Negative
(-)-Bornyl acetate,EFSA AFC,2008,2262,Not determined
(-)-Bornyl acetate,EFSA CEF,2012,2129,Not determined
(-)-Cytisine,EFSA CONTAM,2019,3321,Negative
(-)-Hyoscyamine and (-)-Scopolamine group,EFSA CONTAM,2013,2396,Negative
(-)-Lupinine,EFSA CONTAM,2019,3321,Negative
(-)-Rhodinol,EFSA CEF,2010,2050,Negative
(-)-Rhodinol,EFSA CEF,2013,2375,Negative
(-)-Scopolamine,EFSA CONTAM,2008,103,Negative
(-)-Scopolamine,EFSA CONTAM,2013,2396,Negative
(-)-Sparteine,EFSA CONTAM,2019,3321,Not determined
(-)-alpha-Santalene,EFSA AFC,2008,2299,Not determined
