Substance,Author,Year,OutputID,Study,TestType,Species,Route,DurationDays,Endpoint,qualifier,value,unit,Effect,Toxicity
"(-)-3,7-Dimethyl-6-octen-1-ol",EFSA FEEDAP,2016,2864,Animal (target species) health,subchronic,Rat,oral: feed,84,NOEL,=,50,mg/kg bw/day,no adverse effect observed,
(-)-Hyoscyamine and (-)-Scopolamine group,EFSA CONTAM,2013,2396,Animal (target species) health,not reported,Pig,Not reported,,NOAEL,=,1500,µg/kg,not reported,not reported
(-)-Hyoscyamine and (-)-Scopolamine group,EFSA CONTAM,2013,2396,Human health,study with volunteers,Human,Not reported,,NOAEL,=,0.16,µg/kg bw,clinical signs,systemic
"(1R,2S,5R)-N-(2-(Pyridine-2-yl)ethyl)-3-p-menthanecarboxamide",EFSA CEF,2014,2524,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,5,mg/kg bw/day,histopathology non neoplastic,endocrine
"(1R,2S,5R)-N-(4-Methoxyphenyl)-5-methyl-2-(1-methylethyl)-cyclohexanecarboxamide",EFSA CEF,2012,2147,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,100,mg/kg bw/day,organ weights,hepatotoxicity
"(1R,2S,5R)-N-(4-Methoxyphenyl)-5-methyl-2-(1-methylethyl)-cyclohexanecarboxamide",EFSA CEF,2014,2524,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,100,mg/kg bw/day,organ weights,hepatotoxicity
"(1R,2S,5R)-N-[(Ethoxycarbonyl)methyl]-p-menthane-3-carboxamide",EFSA CEF,2012,2134,Human health,subchronic,Rat,oral: gavage,90,NOAEL,=,75,mg/kg bw/day,haematology,systemic
"(1R,2S,5R)-N-[(Ethoxycarbonyl)methyl]-p-menthane-3-carboxamide",EFSA CEF,2014,2481,Human health,subchronic,Rat,oral: gavage,90,NOAEL,=,75,mg/kg bw/day,haematology,systemic
"(1R,3R,4S)-N-p-Benzeneacetonitrile-menthanecarboxamide",EFSA CEF,2012,2147,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,100,mg/kg bw/day,organ weights,hepatotoxicity
"(1R,3R,4S)-N-p-Benzeneacetonitrile-menthanecarboxamide",EFSA CEF,2014,2524,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,100,mg/kg bw/day,organ weights,hepatotoxicity
(2E)-Methylcrotonic acid,EFSA FEEDAP,2016,2841,Ecotox (soil compartment),acute toxicity,Earthworm,Not reported,,LC50,=,2008,mg/kg,mortality,
(2E)-Methylcrotonic acid,EFSA FEEDAP,2016,2841,Ecotox (water compartment),acute toxicity,Green alga,Not reported,,EC50,=,903,mg/L,mortality,
"(2S,5R)-N-[4-(2-Amino-2-oxoethyl)phenyl]-5-methyl-2-(propan-2-yl)cyclohexanecarboxamide",EFSA CEF,2012,2147,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,100,mg/kg bw/day,organ weights,hepatotoxicity
"(2S,5R)-N-[4-(2-Amino-2-oxoethyl)phenyl]-5-methyl-2-(propan-2-yl)cyclohexanecarboxamide",EFSA CEF,2014,2524,Human health,subchronic,Rat,oral: feed,90,NOAEL,=,100,mg/kg bw/day,organ weights,hepatotoxicity
"(3RS,4RS;3RS,4SR)-3-chloro-4-chloromethyl-1-(alpha,alpha,alpha-trifluoro-m-tolyl)-2-pyrrolidone with ratio of (1RS,2RS)(trans)- and (1RS,2SR)(cis)-isomers not exactly 3:1",EFSA,2010,1255,Animal (non-target species) health,acute toxicity,Bobwhite quail,oral: unspecified,,LD50,>,2150,mg/kg bw,mortality,systemic
