Substance,Author,Year,OutputID,Assessment,qualfier,value,unit,Population
"(-)-3,7-Dimethyl-6-octen-1-ol",EFSA CEF,2013,2180,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(-)-3,7-Dimethyl-6-octen-1-ol",EFSA FEEDAP,2016,2864,MSI/FC,=,4.4000000000,mg/kg,Cats as pet
"(-)-3,7-Dimethyl-6-octen-1-ol",EFSA FEEDAP,2016,2864,MSI/FC,=,8.0000000000,mg/kg,Chicken for egg production
"(-)-3,7-Dimethyl-6-octen-1-ol",EFSA FEEDAP,2016,2864,MSI/FC,=,8.0000000000,mg/kg,Chicken for meat production
"(-)-3,7-Dimethyl-6-octen-1-ol",EFSA FEEDAP,2016,2864,MSI/FC,=,10.0000000000,mg/kg,Pigs - less than 1 year old
"(-)-3,7-Dimethyl-6-octen-1-ol",EFSA FEEDAP,2016,2864,MSI/FC,=,14.0000000000,mg/kg,Cattle for milk production
"(-)-3,7-Dimethyl-6-octen-1-ol",EFSA FEEDAP,2016,2864,MSI/FC,=,15.0000000000,mg/kg,Turkeys for meat production
"(-)-3,7-Dimethyl-6-octen-1-ol",EFSA FEEDAP,2016,2864,MSI/FC,=,17.0000000000,mg/kg,Pigs for meat production
"(-)-3,7-Dimethyl-6-octen-1-ol",EFSA FEEDAP,2016,2864,MSI/FC,=,17.0000000000,mg/kg,Pigs for reproduction
"(-)-3,7-Dimethyl-6-octen-1-ol",EFSA FEEDAP,2016,2864,MSI/FC,=,22.0000000000,mg/kg,Cattle for meat production
"(-)-3,7-Dimethyl-6-octen-1-ol",EFSA FEEDAP,2016,2864,MSI/FC,=,25.0000000000,mg/kg,Cattle for meat production - less than 1 year old
"(-)-3,7-Dimethyl-6-octen-1-ol",EFSA FEEDAP,2016,2864,MSI/FC,=,25.0000000000,mg/kg,Salmons
"(-)-3,7-Dimethyl-6-octen-1-ol",EFSA FEEDAP,2016,2864,MSI/FC,=,26.0000000000,mg/kg,Dogs as pet
(-)-Alpha-elemol,EFSA AFC,2006,2232,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(-)-Alpha-elemol,EFSA AFC,2009,2314,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(-)-Alpha-elemol,EFSA CEF,2011,2071,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(-)-Alpha-elemol,EFSA CEF,2015,2656,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(-)-Bornyl acetate,EFSA AFC,2008,2262,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(-)-Bornyl acetate,EFSA CEF,2012,2129,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(-)-Hyoscyamine and (-)-Scopolamine group,EFSA CONTAM,2013,2396,ARfD (group),=,0.0160000000,mg/kg bw,Consumers
(-)-Rhodinol,EFSA CEF,2010,2050,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
(-)-Rhodinol,EFSA CEF,2013,2375,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R) 2,2,3-Trimethylcyclopent-3-en-1-yl acetaldehyde",EFSA AFC,2008,2286,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R) 2,2,3-Trimethylcyclopent-3-en-1-yl acetaldehyde",EFSA CEF,2012,2130,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R) 2,2,3-Trimethylcyclopent-3-en-1-yl acetaldehyde",EFSA CEF,2013,2376,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R) 2,2,3-Trimethylcyclopent-3-en-1-yl acetaldehyde",EFSA CEF,2014,2561,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R)-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-one",EFSA FEEDAP,2016,2822,MSI/FC,=,0.3000000000,mg/kg,Pigs
"(1R)-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-one",EFSA FEEDAP,2016,2822,MSI/FC,=,0.3000000000,mg/kg,Poultry
"(1R)-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-one",EFSA FEEDAP,2016,2822,MSI/FC,=,0.5000000000,mg/kg,Animal not used for food production - unspecified
"(1R)-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-one",EFSA FEEDAP,2016,2822,MSI/FC,=,0.5000000000,mg/kg,Cattle
"(1R)-1,7,7-Trimethylbicyclo[2.2.1]heptan-2-one",EFSA FEEDAP,2016,2822,MSI/FC,=,0.5000000000,mg/kg,Salmons
"(1R,2R,5S) 5-Isopropenyl-2-methylcyclopentanecarboxaldehyde",EFSA AFC,2008,2286,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2R,5S) 5-Isopropenyl-2-methylcyclopentanecarboxaldehyde",EFSA CEF,2012,2130,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2R,5S) 5-Isopropenyl-2-methylcyclopentanecarboxaldehyde",EFSA CEF,2013,2376,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2R,5S) 5-Isopropenyl-2-methylcyclopentanecarboxaldehyde",EFSA CEF,2014,2561,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2R,5S)-Isodihydrocarveol",EFSA AFC,2005,2061,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2R,5S)-Isodihydrocarveol",EFSA AFC,2009,2301,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2R,5S)-Isodihydrocarveol",EFSA CEF,2010,2059,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
"(1R,2R,5S)-Isodihydrocarveol",EFSA CEF,2011,2113,TTC Cramer Class I,=,30.0000000000,µg/kg bw/day,Consumers
