Substance,has,Component,CASNumber,ECRefNo,MolecularFormula,smiles
((E)-2-(2-hydroxymethylphenyl)-2-methoxyimino-N-methyl-acetamide),as such,((E)-2-(2-hydroxymethylphenyl)-2-methoxyimino-N-methyl-acetamide),,,C11H14N2O3,OCc1ccccc1/C(=N\OC)C(=O)NC
((E)-2-(2-hydroxymethylphenyl)-2-methoxyimino-N-methyl-acetamide),metabolite,Dimoxystrobin,149961-52-4,,C19H22N2O3,CC1=CC(=C(C=C1)C)OCC2=CC=CC=C2C(=NOC)C(=O)NC
(+)-13alpha-Tigloyloxylupanine,as such,(+)-13-alpha-Tigloyloxylupanine,57943-34-7,,C20H30N2O3,CC=C(C)C(=O)OC1CCN2CC3CC(C2C1)CN4C3CCCC4=O
(+)-13alpha-hydroxy-lupanine,as such,(+)-13-Alpha-hydroxy-lupanine,15358-48-2,,C15H24N2O2,C1CC2C3CC(CN2C(=O)C1)C4CC(CCN4C3)O
(+)-Alpha-cedrene,as such,(+)-Alpha-cedrene,35964-52-4,,C15H24,CC1=CCC23C[C@H]1C(C)(C)[C@H]3CC[C@@H]2C
(+)-Lupanine,as such,(+)-Lupanine,550-90-3,207-644-3,C15H24N2O,C1CCN2CC3CC(C2C1)CN4C3CCCC4=O
(-)-17-Oxosparteine,as such,(-)-17-Oxosparteine,489-72-5,207-699-3,C15H24N2O,C1CCN2C[C@@H]3C[C@H]([C@H]2C1)C(=O)N4[C@H]3CCCC4
"(-)-3,7-Dimethyl-6-octen-1-ol",as such,"(-)-3,7-Dimethyl-6-octen-1-ol",7540-51-4,231-415-7,C10H20O,
(-)-Alpha-cedrene,as such,(-)-Alpha-cedrene,469-61-4,207-418-4,C15H24,CC1=CCC23C[C@@H]1C(C)(C)[C@@H]3CC[C@H]2C
(-)-Alpha-elemol,as such,(-)-Alpha-elemol,639-99-6,211-360-5,C15H26O,CC(=C)[C@@H]1C[C@@H](CC[C@@]1(C)C=C)C(C)(C)O
(-)-Anagyrine,as such,(-)-Anagyrine,486-89-5,,,C1CCN2CC3CC(C2C1)CN4C3=CC=CC4=O
